State,Graduation Rate
Alabama,89
Alaska,76
Arizona,77
Arkansas,85
California,82
Colorado,77
Connecticut,87
Delaware,86
Florida,78
Georgia,79
Hawaii,82
Idaho,79
Illinois,86
Indiana,87
Iowa,91
Kansas,86
Kentucky,88
Louisiana,78
Maine,88
Maryland,87
Massachusetts,87
Michigan,80
Minnesota,82
Mississippi,81
Missouri,88
Montana,86
Nebraska,89
Nevada,71
New Hampshire,88
New Jersey,90
New Mexico,69
New York,79
North Carolina,86
North Dakota,87
Ohio,81
Oklahoma,83
Oregon,74
Pennsylvania,85
Rhode Island,83
South Carolina,80
South Dakota,84
Tennessee,88
Texas,89
Utah,85
Vermont,88
Virginia,86
Washington,78
West Virginia,87
Wisconsin,88
Wyoming,79