State,State Tax Rate,-
Alabama,0.04,
Alaska,0.00,
Arizona,0.06,
Arkansas,0.07,
California (b),0.07,
Colorado,0.03,
Connecticut,0.06,
Delaware,0.00,
Florida,0.06,
Georgia,0.04,
Hawaii (c),0.04,
Idaho,0.06,
Illinois,0.06,
Indiana,0.07,
Iowa,0.06,
Kansas,0.07,
Kentucky,0.06,
Louisiana,0.05,
Maine,0.06,
Maryland,0.06,
Massachusetts,0.06,
Michigan,0.06,
Minnesota,0.07,
Mississippi,0.07,
Missouri,0.04,
Montana (d),0.00,
Nebraska,0.06,
Nevada,0.07,
New Hampshire,0.00,
New Jersey (e),0.07,
New Mexico (c),0.05,
New York,0.04,
North Carolina,0.05,
North Dakota,0.05,
Ohio,0.06,
Oklahoma,0.05,
Oregon,0.00,
Pennsylvania,0.06,
Rhode Island,0.07,
South Carolina,0.06,
South Dakota (c),0.05,
Tennessee,0.07,
Texas,0.06,
Utah (b),0.06,
Vermont,0.06,
Virginia (b),0.05,
Washington,0.07,
West Virginia,0.06,
Wisconsin,0.05,
Wyoming,0.04,